elevatorempty 0, fireplace 0, elevatorempty 0, bath 2, elevatorempty 0, fireplace 0, elevatorempty 0, bath 2, elevatorempty 0, bath 2, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, bath 2, elevatorempty 0, fireplace 0, 
bath 3, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, 
elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, bath 1, 
bath 3, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, 
elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, bath 1, 
bath 3, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, 
elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, bath 1, 
bath 3, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, 
elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, bath 1, 
bath 3, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, 
elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, fireplace 0, elevatorempty 0, bath 1, 
